iter	RMSE
0	4342.766542
1	4090.17799
2	3860.922592
3	3659.76171
4	3478.645882
5	3325.326657
6	3186.935773
7	3065.09402
8	2962.192289
9	2867.124644
10	2782.785097
11	2709.87595
12	2644.30986
13	2583.964626
14	2535.167756
15	2489.781025
16	2449.155955
17	2414.421115
18	2379.845127
19	2351.530464
20	2322.275916
21	2300.337261
22	2278.603916
23	2259.923171
24	2236.636911
25	2219.840192
26	2205.734244
27	2192.793841
28	2179.64166
29	2167.133622
30	2156.136554
31	2145.512562
32	2133.719507
33	2125.371442
34	2117.358715
35	2106.77701
36	2096.529461
37	2088.246366
38	2081.859784
39	2075.561948
40	2069.601186
41	2064.939092
42	2059.070438
43	2051.340553
44	2045.115568
45	2040.477888
46	2032.856921
47	2029.1016
48	2022.308134
49	2019.056484
50	2014.218537
51	2010.914577
52	2005.808569
53	2001.363393
54	1998.509803
55	1995.935463
56	1991.658686
57	1985.9812
58	1983.05866
59	1979.581355
60	1975.426099
61	1970.180373
62	1965.905
63	1963.181384
64	1961.383648
65	1957.454097
66	1952.401573
67	1950.684121
68	1946.992137
69	1945.425102
70	1941.956065
71	1939.156543
72	1936.759853
73	1935.338918
74	1932.791057
75	1931.365916
76	1929.474742
77	1927.825789
78	1925.991675
79	1923.704206
80	1921.362868
81	1918.916978
82	1917.011422
83	1915.39573
84	1913.757211
85	1912.009185
86	1910.644354
87	1909.765446
88	1907.921903
89	1906.083449
90	1904.663959
91	1902.622273
92	1901.30356
93	1898.8722
94	1896.27524
95	1894.77643
96	1893.928243
97	1892.465705
98	1891.518733
99	1890.471997
100	1889.202579
101	1888.214306
102	1886.9224
103	1886.085934
104	1885.147801
105	1882.909797
106	1881.704947
107	1879.673606
108	1878.19012
109	1876.248238
110	1875.396828
111	1873.973672
112	1872.281493
113	1870.988953
114	1869.753236
115	1868.631733
116	1867.128858
117	1865.80602
118	1864.481357
119	1863.156007
120	1861.919035
121	1861.50778
122	1859.903826
123	1858.374404
124	1857.333261
125	1855.846497
126	1854.414658
127	1852.579354
128	1851.791151
129	1850.454828
130	1849.306412
131	1848.359524
132	1847.208846
133	1845.853352
134	1844.873643
135	1844.421079
136	1843.081438
137	1842.393329
138	1840.535914
139	1839.817553
140	1838.41851
141	1837.084598
142	1835.832178
143	1834.977085
144	1834.464503
145	1833.256823
146	1831.865415
147	1831.368189
148	1830.744751
149	1829.63703
150	1828.749685
151	1828.03317
152	1827.407766
153	1826.707641
154	1826.003957
155	1824.951758
156	1824.307289
157	1823.618832
158	1823.054055
159	1822.065555
160	1821.222124
161	1820.011985
162	1818.637604
163	1818.00279
164	1817.254947
165	1816.858488
166	1816.087677
167	1815.125259
168	1813.877343
169	1812.967683
170	1811.680252
171	1811.350187
172	1810.479135
173	1809.916287
174	1809.20046
175	1808.532499
176	1807.992603
177	1807.285738
178	1806.833165
179	1806.102551
180	1805.746469
181	1805.108776
182	1804.386008
183	1803.236212
184	1802.552367
185	1801.769763
186	1801.182618
187	1800.218541
188	1799.38855
189	1798.55872
190	1798.051764
191	1797.352131
192	1796.932936
193	1796.317894
194	1795.844921
195	1795.090863
196	1794.20099
197	1793.22197
198	1792.586801
199	1791.866718
200	1791.323874
201	1790.685785
202	1790.211186
203	1789.344574
